Entity_ID,Canonical_Name,Entity_Type,Parent_Company,Match_Keywords,Match_Strategy,Category,Active,Notes,Estimated_Tons
ABU-DHABI-001,Abu Dhabi National Oil Company,Oil & Gas,ADNOC,ABU DHABI NATIONAL,Contains,All,True,UAE state oil company,2300000
ADM-001,Archer Daniels Midland,Grain,ADM,ARCHER DANIELS MIDLAND,Contains,All,True,Major grain trader and processor,1088661
AES-PR-001,AES Puerto Rico,Power Generation,AES Corporation,AES PUERTO RICO,Contains,All,True,AES power generation in Puerto Rico,2545800
AKCANSA-001,Akcansa Cimento,Cement,Sabanci Holding,AKCANSA CIMENTO,Contains_All,Shipper,True,Turkish cement producer,1130494
ARAMCO-001,Aramco Americas,Oil & Gas,Saudi Aramco,ARAMCO AMERICAS,Contains,All,True,Saudi Aramco US marketing entity,6000000
ARAMCO-FUJAIRAH-001,Aramco Trading Fujairah,Oil/Gas,Saudi Aramco,ARAMCO TRADING FUJAIRAH,Contains,All,True,Saudi Aramco UAE trading operations,1408343
ARCELORMITTAL-001,ArcelorMittal,Steel,ArcelorMittal,ARCELORMITTAL,Contains,All,True,World's largest steel producer - multiple US entities,8000000
ARGOS-001,Argos USA,Cement/Aggregates,Grupo Argos,ARGOS USA;ARGOS CEMENT,Contains,Consignee,True,Colombian cement producer - US operations,2031040
ASH-GROVE-001,Ash Grove Cement,Cement/Aggregates,CRH,ASH GROVE,Contains_All,Consignee,True,Major US cement producer - now CRH subsidiary,1561861
ATALCO-001,Atalco Gramercy,Aluminum,Rusal,ATALCO GRAMERCY,Contains,All,True,Rusal US aluminum operations,4000000
BAHAMA-ROCK-001,Bahama Rock,Aggregates,,BAHAMA ROCK,Contains,All,True,Bahamas aggregates producer,3600000
BIEHL-001,Biehl & Co,Logistics,,BIEHL,Contains,All,True,Customs brokerage and freight forwarding,1600000
BLUE-WATER-001,Blue Water Industries,Logistics,,BLUE WATER INDUSTRIES,Contains,All,True,Freight forwarding and logistics,1800000
BOLANTER-001,Bolanter Corporation,Trading Company,,BOLANTER,Contains,All,True,Saudi Aramco affiliate,15000000
BP-001,BP,Oil & Gas,BP plc,BP PRODUCTS,Contains,All,True,British petroleum major,5000000
BP-INTL-001,BP Oil International,Oil/Gas,BP plc,BP OIL INTERNATIONAL,Contains,All,True,BP international trading operations,1355240
BR-ANDERSON-001,B.R. Anderson & Co,Logistics,,B.R. ANDERSON;BR ANDERSON,Contains,All,True,Customs brokerage services,1400000
CARIB-LPG-001,Carib LPG Trading,Oil/Gas,,CARIB LPG,Contains_All,All,True,LPG trading company - Caribbean operations,2600772
